synonym,target
nichibros,daily-lives-of-high-school-boys
c-cube,cube-x-cursed-x-curious
chu2koi,chuunibyou-demo-koi-ga-shitai
stella-jogakuin-c3-bu,c3-bu
gokukoku-no-brynhildr,brynhildr-in-the-darkness
break-blade,broken-blade
hana-yori-dango,boys-over-flowers
shuuen-no-shiori,bookmark-of-demise
ao-no-exorcist,blue-exorcist
blood-plus,blood+
yamadas-first-time,b-gata-h-kei
good-luck-girl,binbou-gami-ga
hadashi-no-gen,barefoot-gen
chikyuu-shoujo-arjuna,arjuna
earth-maiden-arjuna,arjuna
the-knight-in-the-area,area-no-kishi
riddle-story-of-devil,akuma-no-riddle
byousoku-5-centimeter,5-centimeters-per-second
sazan-eyes,3x3-eyes
