Id,PostHistoryTypeId,PostId
16171,6,2028
16174,6,1245
16189,6,6854
16202,6,3652
16205,6,1909
16221,6,297
16230,6,6230
16239,6,2456
16241,6,3807
16256,6,6134
16279,6,7480
16284,6,7417
16297,6,7575
16322,6,7561
16340,6,7578
16411,6,7617
16415,6,7624
16417,6,2093
16426,6,7636
16441,6,7644
16473,6,7644
16474,6,7659
16492,6,7071
16504,6,1529
16507,6,3672
16521,6,7663
16567,6,4476
16576,6,7697
16631,6,7717
16642,6,7662
16646,6,7516
16655,6,6441
16661,6,7716
16662,6,7687
16664,6,7724
16667,6,7710
16676,6,7695
16679,6,7689
16681,6,7715
16683,6,7723
16700,6,7737
16708,6,7740
16802,6,7776
16803,6,7768
16805,6,7771
16822,6,7742
16834,6,5907
16838,6,7141
16841,6,7797
16847,6,7797
16860,6,7805
16972,6,7859
16981,6,7862
16985,6,7859
16992,6,7865
17035,6,7884
17044,6,7881
17101,6,1050
17165,6,2444
17185,6,1647
17190,6,7933
17219,6,7928
17225,6,7724
17259,6,7976
17278,6,7949
17283,6,5346
17295,6,1488
17356,6,7944
17416,6,8031
17431,6,8039
17432,6,8019
17483,6,8060
17569,6,8108
17591,6,2724
17594,6,8039
17626,6,8119
17637,6,7968
17662,6,8148
17667,6,8136
17677,6,1308
17683,6,8155
17708,6,2544
17713,6,5949
17714,6,5881
17719,6,5735
17721,6,7403
17737,6,7403
17750,6,8179
17753,6,7246
17757,6,7762
17759,6,6761
17760,6,4958
17761,6,4917
17765,6,7874
17770,6,7700
17774,6,6042
17799,6,8189
17806,6,8192
17809,6,8055
17816,6,8194
17946,6,8233
17956,6,8227
17960,6,8272
17995,6,8200
18003,6,8289
18004,6,8285
18005,6,1343
18030,6,6129
18041,6,8299
18050,6,8241
18054,6,8309
18058,6,4917
18067,6,8177
18118,6,8339
18120,6,8336
18123,6,8324
18130,6,8238
18135,6,8272
18146,6,8344
18172,6,8350
18176,6,7429
18187,6,8329
18189,6,8352
18193,6,8362
18197,6,8363
18205,6,8356
18214,6,6873
18217,6,6801
18218,6,6284
18219,6,6236
18234,6,8372
18238,6,8209
18265,6,8377
18276,6,8389
18280,6,7766
18322,6,8406
18413,6,8184
18416,6,8458
18448,6,8458
18451,6,8425
18454,6,8470
18455,6,8470
18456,6,8470
18457,6,8159
18481,6,8467
18522,6,8506
18546,6,8508
18569,6,8505
18587,6,8498
18597,6,8469
18626,6,8544
18643,6,8554
18694,6,8570
18696,6,5282
18726,6,8590
18733,6,8594
18787,6,8600
18800,6,8442
18803,6,8618
18804,6,8572
18897,6,8618
18899,6,8635
18909,6,8677
18928,6,8681
18930,6,8437
18931,6,8681
18932,6,4905
18953,6,8664
18971,6,8696
19016,6,8704
19026,6,579
19031,6,8720
19051,6,8729
19077,6,6586
19080,6,8729
19092,6,8712
19099,6,6467
19103,6,8740
19123,6,8755
